id,title,section,category,author,date,summary,content,file_url,tags,featured
astm-d4945,ASTM D4945: Standard Test Method for High-Strain Dynamic Testing of Deep Foundations,standards,Pile Testing,ASTM International,2023-06-15,"This standard covers the determination of the capacity of deep foundations using high-strain dynamic testing. It provides procedures for the quality control and capacity evaluation of driven piles, drilled shafts, and other deep foundation elements.","This test method covers the procedure for dynamic load testing and analysis of deep foundations using a ram and anvil system to deliver high-strain, high-velocity impact loads. The method provides data on stress wave transmission, pile integrity, and bearing capacity.",,pile testing;standards;astm;dynamic testing,TRUE
iso-22477-1,ISO 22477-1: Geotechnical Investigation and Testing - Testing of Geotechnical Structures,standards,Pile Testing,ISO,2023-03-10,"ISO 22477-1 specifies the execution of static pile load tests in which a load is applied to a single pile to establish the load-displacement behavior of the pile. The standard applies to all types of piles regardless of their form of construction or installation.","This standard provides specifications for testing geotechnical structures. It covers methods for applying static loads to deep foundations and measuring their response. The test results can be used to determine ultimate bearing capacity, settlement behavior, and other performance characteristics.",,pile testing;standards;iso;static testing,TRUE
bs-8004,BS 8004: Code of Practice for Foundations,standards,Foundation Design,British Standards Institution,2023-01-20,"BS 8004 provides recommendations for the design and construction of foundations for buildings and structures. It covers site investigation, foundation design principles, and construction considerations for various soil conditions.","This British Standard gives guidance on foundation design and construction practices. It includes provisions for shallow foundations, deep foundations, basement construction, and ground improvement techniques. The standard emphasizes the importance of proper site investigation and quality control.",,foundations;standards;british standards;design,FALSE
case-study-ktft-pile-testing,Kathmandu-Terai Fast Track Project: PDA Testing Case Study,publications,Case Studies,NS Engineering,2024-09-15,"A comprehensive case study documenting 50 Pile Driving Analyzer (PDA) tests conducted on the KTFT project in Nepal. The study demonstrates the effectiveness of high-strain dynamic testing for quality assurance on large infrastructure projects.","This case study presents results from extensive pile testing operations on the Kathmandu-Terai Fast Track highway project. We performed 50 PDA tests, 17 lateral load tests, and 16 cross-hole sonic logging tests on foundation piles. The project demonstrates the value of comprehensive testing protocols for ensuring foundation integrity in seismic zones. Results showed excellent correlation between dynamic and static test results, validating the use of PDA testing for capacity verification.",,case studies;pile testing;pda;ktft;nepal,TRUE
liquefaction-assessment-paper,Liquefaction Assessment in Kathmandu Valley: Technical Paper,publications,Research,Dr. Suman Panthi,2024-06-20,"A technical paper examining liquefaction susceptibility in the Kathmandu Valley based on field investigation and laboratory testing data. The study provides recommendations for foundation design in potentially liquefiable soils.","This research paper analyzes soil liquefaction potential across various sites in Kathmandu Valley using SPT data, grain size analysis, and empirical correlations. The study identifies zones of varying liquefaction risk and proposes mitigation measures including ground improvement and deep foundation solutions. Field case histories from recent seismic events are incorporated to validate the assessment methodology.",,liquefaction;research;kathmandu;seismic;soil mechanics,FALSE
masw-survey-techniques,Multi-Channel Analysis of Surface Waves: Best Practices,publications,Technical Guides,Anand Gupta,2024-03-10,A practical guide to conducting MASW surveys for site characterization in Nepal. Covers equipment setup and data interpretation techniques specific to challenging terrain conditions.,"This technical guide provides detailed procedures for performing Multi-Channel Analysis of Surface Waves (MASW) surveys in the Nepalese context. Topics include equipment selection, survey design, data acquisition in mountainous terrain, processing workflows, and interpretation of shear wave velocity profiles. The guide includes case studies from hydropower and highway projects.",,masw;geophysical;site investigation;technical guide,FALSE
triaxial-testing-procedures,Advanced Triaxial Testing Procedures for Soil Characterization,publications,Technical Guides,Madhav Pokhrel,2024-01-15,"A comprehensive guide to performing consolidated undrained (CU) and consolidated drained (CD) triaxial tests. Includes equipment calibration, specimen preparation, and data interpretation methods.","This document outlines standard operating procedures for advanced triaxial testing in NS Engineering's laboratory. It covers specimen preparation from block and tube samples, saturation procedures, consolidation stages, shearing phases, and post-test analysis. Quality control measures and common sources of error are discussed with troubleshooting guidance.",,triaxial testing;laboratory;soil mechanics;procedures,FALSE
newsletter-2024-q3,NS Engineering Quarterly Newsletter - Q3 2024,newsletters,Company News,NS Engineering,2024-10-01,"Our Q3 2024 newsletter featuring project highlights, new equipment acquisitions, team updates, and upcoming training programs. Highlights include completion of major pile testing on transmission line projects.","Welcome to our Q3 2024 newsletter! This quarter we completed pile testing for 183 foundation piles on the Expressway project and expanded our geophysical testing capabilities with a new 48-channel seismograph. Our team attended international training on advanced cross-hole sonic logging techniques. We're proud to announce ISO 9001:2015 recertification for our quality management system.",,newsletter;company news;updates,FALSE
newsletter-2024-q2,NS Engineering Quarterly Newsletter - Q2 2024,newsletters,Company News,NS Engineering,2024-07-01,"Q2 2024 newsletter showcasing our work on hydropower projects, laboratory accreditation progress, and technical training initiatives. Features include 42 PDA tests on the Kanchanpur-Kamala Road project.","This quarter's highlights include successful completion of extensive pile testing on the Kanchanpur-Kamala Highway with 42 PDA tests, 370 PIT tests, and 49 static load tests. Our laboratory completed the first phase of NABL accreditation process. Team members participated in workshops on emerging geotechnical testing technologies including fiber optic sensing for pile monitoring.",,newsletter;company news;updates,FALSE
newsletter-2024-q1,NS Engineering Quarterly Newsletter - Q1 2024,newsletters,Company News,NS Engineering,2024-04-01,"Q1 2024 newsletter featuring tunnel investigation projects, new team member introductions, and safety achievements. Includes updates on our role in major tunnel projects along the Kathmandu-Terai corridor.","In Q1 2024, we mobilized extensive investigation campaigns for five tunnel sections on the KTFT project. Our drilling teams completed over 3,500 meters of rotary drilling with depths reaching 320 meters. We welcome three new engineers to our geotechnical division. The quarter closed with zero safety incidents across all active project sites, marking 18 consecutive months without Lost Time Injuries.",,newsletter;company news;updates,FALSE
astm-d1586,ASTM D1586: Standard Penetration Test (SPT) and Split-Barrel Sampling,standards,In-Situ Testing,ASTM International,2022-08-15,"ASTM D1586 covers the standard penetration test (SPT) procedure and split-barrel sampling. This is one of the most widely used methods for subsurface exploration and foundation design.","This standard describes the procedure for driving a split-barrel sampler to obtain disturbed soil samples and measure penetration resistance. The SPT N-value is used for correlation with soil properties, bearing capacity estimation, and liquefaction assessment. The standard specifies equipment requirements, test procedures, and reporting formats.",,spt;standards;in-situ testing;astm,FALSE
slope-stability-manual,Slope Stability Analysis Manual for Highway Projects,publications,Technical Guides,Dhurba Raj Tirpathi,2023-11-20,"A practical manual for slope stability assessment on highway projects in hilly terrain. Covers investigation methods, stability analysis procedures, and remedial measures commonly employed in Nepal.","This manual provides comprehensive guidance on slope stability evaluation for highway and road projects in mountainous regions. Topics include geological reconnaissance, subsurface investigation planning, laboratory testing for strength parameters, stability analysis methods (limit equilibrium and finite element), and design of stabilization measures including retaining walls, soil nails, and drainage systems.",,slope stability;highways;geotechnical design;manual,TRUE
